Estado,Temperatura,Humedad,Costo_Alojamiento,Costo_Transporte,Dias_Promedio,Tiempo_Traslado
Aguascalientes,30,35,1500,900,5,6
Baja California,35,25,1800,2000,6,30
Baja California Sur,33,45,2000,2200,6,32
Campeche,31,75,1300,1400,5,14
Chiapas,28,85,1000,1500,6,18
Chihuahua,25,30,1100,1600,5,12
Ciudad de Mexico,22,65,1500,400,4,2
Coahuila,32,28,1200,1400,5,11
Colima,31,70,1600,1200,5,8
Durango,26,38,1000,1300,5,10
Estado de Mexico,21,60,1200,300,4,2
Guanajuato,27,55,1100,600,4,5
Guerrero,34,80,1800,1100,6,8
Hidalgo,24,65,1000,400,4,3
Jalisco,29,60,1500,900,5,7
Michoacan,28,70,1100,800,5,6
Morelos,30,75,1300,400,4,3
Nayarit,32,80,1700,1400,6,9
Nuevo Leon,33,40,1600,1000,5,8
Oaxaca,29,75,1100,1100,6,10
Puebla,25,70,1200,600,5,5
Queretaro,26,55,1300,600,4,4
Quintana Roo,35,85,2500,2000,7,22
San Luis Potosi,27,55,1100,900,5,7
Sinaloa,34,70,1500,1500,6,12
Sonora,38,20,1400,1800,6,20
Tabasco,33,90,1200,1300,5,15
Tamaulipas,31,65,1300,1100,5,11
Tlaxcala,23,65,1000,400,4,3
Veracruz,32,85,1400,900,6,8
Yucatan,34,80,1600,1700,6,18
Zacatecas,24,45,1000,900,5,7
